"Name","State","Notes","User","Tags","Created","Runtime","Sweep","backbone._target_","backbone.layer_dim","checkpoint.dir","checkpoint.test_iter","checkpoint.time","dataset.name","dataset.set_cls._target_","dataset.set_cls.n_query","dataset.set_cls.n_support","dataset.set_cls.n_way","dataset.simple_cls._target_","dataset.type","eval_split","exp.name","exp.resume","exp.save_freq","exp.seed","exp.val_freq","iter_num","lr","method.cls._target_","method.cls.dim_feedforward","method.cls.dropout","method.cls.inner_lr","method.cls.loss","method.cls.n_classes","method.cls.n_head","method.cls.n_support","method.cls.n_task","method.cls.n_way","method.cls.num_layers","method.cls.score","method.cls.score._target_","method.cls.task_update_num","method.cls.type","method.eval_type","method.fast_weight","method.maml_inner_lr","method.n_task","method.name","method.start_epoch","method.stop_epoch","method.task_update_num","method.train_batch","method.type","mode","model","model_details.FCE.lstmcell","model_details.FCE.softmax","model_details.G_encoder","model_details.classifier","model_details.classifier.L","model_details.feature.encoder.0.0","model_details.feature.encoder.0.1","model_details.feature.encoder.0.2","model_details.feature.encoder.0.3","model_details.feature.encoder.1.0","model_details.feature.encoder.1.1","model_details.feature.encoder.1.2","model_details.feature.encoder.1.3","model_details.loss_fn","model_details.relu","model_details.score","model_details.softmax","model_details.transform.dropout","model_details.transform.dropout1","model_details.transform.dropout2","model_details.transform.gen1","model_details.transform.gen2","model_details.transform.gen3","model_details.transform.gen4","model_details.transform.linear1","model_details.transform.linear2","model_details.transform.lstm","model_details.transform.norm1","model_details.transform.norm2","model_details.transform.self_attn.out_proj","n_query","n_shot","n_way","optimizer","optimizer_cls._target_","optimizer_cls.lr","optimizer_details.amsgrad","optimizer_details.betas","optimizer_details.capturable","optimizer_details.differentiable","optimizer_details.eps","optimizer_details.lr","optimizer_details.maximize","optimizer_details.weight_decay","train_classes","wandb.entity","wandb.mode","wandb.project","acc/val","epoch","loss","loss/train"
"astral-cherry-849","finished","-","marta-knezevic","","2023-12-03T11:09:39.000Z","282","","backbones.fcnet.FCNet","[512,512]","checkpoints/swissprot_fealstm_star/swissprot/fealstm_FCNet","best_model","20231203_110938","swissprot","datasets.prot.swissprot.SPSetDataset","15","5","5","datasets.prot.swissprot.SPSimpleDataset","classification","[""train"",""val"",""test""]","swissprot_fealstm_star","false","10","42","1","600","0.001","methods.settoset.fealstm.FEALSTM","","","","","","","5","","5","1","","methods.settoset.settoset.CosineSimilarityScore","","","set","false","","","fealstm","0","40","","","meta","train","FCNet","","","","","","Linear(in_features=1280, out_features=512, bias=True)","BatchNorm1d(512, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)","ReLU()","Dropout(p=0.2, inplace=False)","Linear(in_features=512, out_features=512, bias=True)","BatchNorm1d(512, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)","ReLU()","Dropout(p=0.2, inplace=False)","CrossEntropyLoss()","","CosineSimilarityScore()","","","","","","","","","","","LSTM(512, 256, batch_first=True, bidirectional=True)","","","","15","5","5","Adam","torch.optim.Adam","0.001","false","[0.9,0.999]","false","false","1e-8","0.001","false","0","59","dlbio-feat","online","few-shot-learning","51.35999999999999","39","2.0164229306545884",""
"avid-sound-863","finished","-","marta-knezevic","","2023-12-03T16:57:01.000Z","312","","backbones.fcnet.FCNet","[512,512]","checkpoints/swissprot_fealstm_star/swissprot/fealstm_FCNet","best_model","20231203_165659","swissprot","datasets.prot.swissprot.SPSetDataset","15","5","5","datasets.prot.swissprot.SPSimpleDataset","classification","[""train"",""val"",""test""]","swissprot_fealstm_star","false","10","42","1","600","0.0001","methods.settoset.fealstm.FEALSTM","","","","","","","5","","5","4","","methods.settoset.settoset.CosineSimilarityScore","","","set","false","","","fealstm","0","40","","","meta","train","FCNet","","","","","","Linear(in_features=1280, out_features=512, bias=True)","BatchNorm1d(512, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)","ReLU()","Dropout(p=0.2, inplace=False)","Linear(in_features=512, out_features=512, bias=True)","BatchNorm1d(512, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)","ReLU()","Dropout(p=0.2, inplace=False)","CrossEntropyLoss()","","CosineSimilarityScore()","","","","","","","","","","","LSTM(512, 256, num_layers=4, batch_first=True, bidirectional=True)","","","","15","5","5","Adam","torch.optim.Adam","0.0001","false","[0.9,0.999]","false","false","1e-8","0.0001","false","0","59","dlbio-feat","online","few-shot-learning","54.21333333333333","39","2.0597359845926473",""
"brisk-brook-846","finished","-","marta-knezevic","","2023-12-03T10:47:54.000Z","330","","backbones.fcnet.FCNet","[512,512]","checkpoints/swissprot_fealstm_star/swissprot/fealstm_FCNet","best_model","20231203_104752","swissprot","datasets.prot.swissprot.SPSetDataset","15","1","5","datasets.prot.swissprot.SPSimpleDataset","classification","[""train"",""val"",""test""]","swissprot_fealstm_star","false","10","42","1","600","0.0001","methods.settoset.fealstm.FEALSTM","","","","","","","1","","5","4","","methods.settoset.settoset.CosineSimilarityScore","","","set","false","","","fealstm","0","40","","","meta","train","FCNet","","","","","","Linear(in_features=1280, out_features=512, bias=True)","BatchNorm1d(512, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)","ReLU()","Dropout(p=0.2, inplace=False)","Linear(in_features=512, out_features=512, bias=True)","BatchNorm1d(512, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)","ReLU()","Dropout(p=0.2, inplace=False)","CrossEntropyLoss()","","CosineSimilarityScore()","","","","","","","","","","","LSTM(512, 256, num_layers=4, batch_first=True, bidirectional=True)","","","","15","1","5","Adam","torch.optim.Adam","0.0001","false","[0.9,0.999]","false","false","1e-8","0.0001","false","0","59","dlbio-feat","online","few-shot-learning","47.02666666666667","39","2.1692954157734965",""
"confused-galaxy-862","finished","-","marta-knezevic","","2023-12-03T16:49:27.000Z","311","","backbones.fcnet.FCNet","[512,512]","checkpoints/swissprot_fealstm_star/swissprot/fealstm_FCNet","best_model","20231203_164925","swissprot","datasets.prot.swissprot.SPSetDataset","15","5","5","datasets.prot.swissprot.SPSimpleDataset","classification","[""train"",""val"",""test""]","swissprot_fealstm_star","false","10","42","1","600","0.001","methods.settoset.fealstm.FEALSTM","","","","","","","5","","5","4","","methods.settoset.settoset.CosineSimilarityScore","","","set","false","","","fealstm","0","40","","","meta","train","FCNet","","","","","","Linear(in_features=1280, out_features=512, bias=True)","BatchNorm1d(512, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)","ReLU()","Dropout(p=0.2, inplace=False)","Linear(in_features=512, out_features=512, bias=True)","BatchNorm1d(512, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)","ReLU()","Dropout(p=0.2, inplace=False)","CrossEntropyLoss()","","CosineSimilarityScore()","","","","","","","","","","","LSTM(512, 256, num_layers=4, batch_first=True, bidirectional=True)","","","","15","5","5","Adam","torch.optim.Adam","0.001","false","[0.9,0.999]","false","false","1e-8","0.001","false","0","59","dlbio-feat","online","few-shot-learning","52.41333333333333","39","2.0168819479889923",""
"copper-shape-834","finished","-","marta-knezevic","","2023-12-03T09:10:21.000Z","309","","backbones.fcnet.FCNet","[512,512]","checkpoints/swissprot_fealstm_star/swissprot/fealstm_FCNet","best_model","20231203_091020","swissprot","datasets.prot.swissprot.SPSetDataset","15","1","5","datasets.prot.swissprot.SPSimpleDataset","classification","[""train"",""val"",""test""]","swissprot_fealstm_star","false","10","42","1","600","0.0001","methods.settoset.fealstm.FEALSTM","","","","","","","1","","5","1","","methods.settoset.settoset.CosineSimilarityScore","","","set","false","","","fealstm","0","40","","","meta","train","FCNet","","","","","","Linear(in_features=1280, out_features=512, bias=True)","BatchNorm1d(512, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)","ReLU()","Dropout(p=0.2, inplace=False)","Linear(in_features=512, out_features=512, bias=True)","BatchNorm1d(512, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)","ReLU()","Dropout(p=0.2, inplace=False)","CrossEntropyLoss()","","CosineSimilarityScore()","","","","","","","","","","","LSTM(512, 256, batch_first=True, bidirectional=True)","","","","15","1","5","Adam","torch.optim.Adam","0.0001","false","[0.9,0.999]","false","false","1e-8","0.0001","false","0","59","dlbio-feat","online","few-shot-learning","46.62666666666666","39","2.157144377519796",""
"dainty-river-835","finished","-","marta-knezevic","","2023-12-03T09:18:17.000Z","312","","backbones.fcnet.FCNet","[512,512]","checkpoints/swissprot_fealstm_star/swissprot/fealstm_FCNet","best_model","20231203_091815","swissprot","datasets.prot.swissprot.SPSetDataset","15","1","5","datasets.prot.swissprot.SPSimpleDataset","classification","[""train"",""val"",""test""]","swissprot_fealstm_star","false","10","42","1","600","0.001","methods.settoset.fealstm.FEALSTM","","","","","","","1","","5","2","","methods.settoset.settoset.EuclideanDistanceScore","","","set","false","","","fealstm","0","40","","","meta","train","FCNet","","","","","","Linear(in_features=1280, out_features=512, bias=True)","BatchNorm1d(512, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)","ReLU()","Dropout(p=0.2, inplace=False)","Linear(in_features=512, out_features=512, bias=True)","BatchNorm1d(512, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)","ReLU()","Dropout(p=0.2, inplace=False)","CrossEntropyLoss()","","EuclideanDistanceScore()","","","","","","","","","","","LSTM(512, 256, num_layers=2, batch_first=True, bidirectional=True)","","","","15","1","5","Adam","torch.optim.Adam","0.001","false","[0.9,0.999]","false","false","1e-8","0.001","false","0","59","dlbio-feat","online","few-shot-learning","43.58666666666667","39","1.3610768248582934",""
"dandy-silence-852","finished","-","marta-knezevic","","2023-12-03T11:30:51.000Z","286","","backbones.fcnet.FCNet","[512,512]","checkpoints/swissprot_fealstm_star/swissprot/fealstm_FCNet","best_model","20231203_113049","swissprot","datasets.prot.swissprot.SPSetDataset","15","5","5","datasets.prot.swissprot.SPSimpleDataset","classification","[""train"",""val"",""test""]","swissprot_fealstm_star","false","10","42","1","600","0.0001","methods.settoset.fealstm.FEALSTM","","","","","","","5","","5","2","","methods.settoset.settoset.EuclideanDistanceScore","","","set","false","","","fealstm","0","40","","","meta","train","FCNet","","","","","","Linear(in_features=1280, out_features=512, bias=True)","BatchNorm1d(512, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)","ReLU()","Dropout(p=0.2, inplace=False)","Linear(in_features=512, out_features=512, bias=True)","BatchNorm1d(512, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)","ReLU()","Dropout(p=0.2, inplace=False)","CrossEntropyLoss()","","EuclideanDistanceScore()","","","","","","","","","","","LSTM(512, 256, num_layers=2, batch_first=True, bidirectional=True)","","","","15","5","5","Adam","torch.optim.Adam","0.0001","false","[0.9,0.999]","false","false","1e-8","0.0001","false","0","59","dlbio-feat","online","few-shot-learning","69.06666666666668","39","0.7036144734465464",""
"dark-darkness-832","finished","-","marta-knezevic","","2023-12-03T08:54:41.000Z","303","","backbones.fcnet.FCNet","[512,512]","checkpoints/swissprot_fealstm_star/swissprot/fealstm_FCNet","best_model","20231203_085440","swissprot","datasets.prot.swissprot.SPSetDataset","15","1","5","datasets.prot.swissprot.SPSimpleDataset","classification","[""train"",""val"",""test""]","swissprot_fealstm_star","false","10","42","1","600","0.0001","methods.settoset.fealstm.FEALSTM","","","","","","","1","","5","1","","methods.settoset.settoset.EuclideanDistanceScore","","","set","false","","","fealstm","0","40","","","meta","train","FCNet","","","","","","Linear(in_features=1280, out_features=512, bias=True)","BatchNorm1d(512, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)","ReLU()","Dropout(p=0.2, inplace=False)","Linear(in_features=512, out_features=512, bias=True)","BatchNorm1d(512, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)","ReLU()","Dropout(p=0.2, inplace=False)","CrossEntropyLoss()","","EuclideanDistanceScore()","","","","","","","","","","","LSTM(512, 256, batch_first=True, bidirectional=True)","","","","15","1","5","Adam","torch.optim.Adam","0.0001","false","[0.9,0.999]","false","false","1e-8","0.0001","false","0","59","dlbio-feat","online","few-shot-learning","55.2","39","6.2424420563729255",""
"deft-serenity-844","finished","-","marta-knezevic","","2023-12-03T10:31:20.000Z","331","","backbones.fcnet.FCNet","[512,512]","checkpoints/swissprot_fealstm_star/swissprot/fealstm_FCNet","best_model","20231203_103119","swissprot","datasets.prot.swissprot.SPSetDataset","15","1","5","datasets.prot.swissprot.SPSimpleDataset","classification","[""train"",""val"",""test""]","swissprot_fealstm_star","false","10","42","1","600","0.0001","methods.settoset.fealstm.FEALSTM","","","","","","","1","","5","4","","methods.settoset.settoset.EuclideanDistanceScore","","","set","false","","","fealstm","0","40","","","meta","train","FCNet","","","","","","Linear(in_features=1280, out_features=512, bias=True)","BatchNorm1d(512, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)","ReLU()","Dropout(p=0.2, inplace=False)","Linear(in_features=512, out_features=512, bias=True)","BatchNorm1d(512, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)","ReLU()","Dropout(p=0.2, inplace=False)","CrossEntropyLoss()","","EuclideanDistanceScore()","","","","","","","","","","","LSTM(512, 256, num_layers=4, batch_first=True, bidirectional=True)","","","","15","1","5","Adam","torch.optim.Adam","0.0001","false","[0.9,0.999]","false","false","1e-8","0.0001","false","0","59","dlbio-feat","online","few-shot-learning","51.69333333333334","39","6.88931961439468",""
"divine-haze-848","finished","-","marta-knezevic","","2023-12-03T11:02:41.000Z","279","","backbones.fcnet.FCNet","[512,512]","checkpoints/swissprot_fealstm_star/swissprot/fealstm_FCNet","best_model","20231203_110240","swissprot","datasets.prot.swissprot.SPSetDataset","15","5","5","datasets.prot.swissprot.SPSimpleDataset","classification","[""train"",""val"",""test""]","swissprot_fealstm_star","false","10","42","1","600","0.0001","methods.settoset.fealstm.FEALSTM","","","","","","","5","","5","1","","methods.settoset.settoset.EuclideanDistanceScore","","","set","false","","","fealstm","0","40","","","meta","train","FCNet","","","","","","Linear(in_features=1280, out_features=512, bias=True)","BatchNorm1d(512, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)","ReLU()","Dropout(p=0.2, inplace=False)","Linear(in_features=512, out_features=512, bias=True)","BatchNorm1d(512, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)","ReLU()","Dropout(p=0.2, inplace=False)","CrossEntropyLoss()","","EuclideanDistanceScore()","","","","","","","","","","","LSTM(512, 256, batch_first=True, bidirectional=True)","","","","15","5","5","Adam","torch.optim.Adam","0.0001","false","[0.9,0.999]","false","false","1e-8","0.0001","false","0","59","dlbio-feat","online","few-shot-learning","69.24000000000001","39","0.7743566554871534",""
