"Name","State","Notes","User","Tags","Created","Runtime","Sweep","backbone._target_","backbone.layer_dim","checkpoint.dir","checkpoint.test_iter","checkpoint.time","dataset.name","dataset.set_cls._target_","dataset.set_cls.n_query","dataset.set_cls.n_support","dataset.set_cls.n_way","dataset.simple_cls._target_","dataset.type","eval_split","exp.name","exp.resume","exp.save_freq","exp.seed","exp.val_freq","iter_num","lr","method.cls._target_","method.cls.dim_feedforward","method.cls.dropout","method.cls.inner_lr","method.cls.loss","method.cls.n_classes","method.cls.n_head","method.cls.n_support","method.cls.n_task","method.cls.n_way","method.cls.num_layers","method.cls.score","method.cls.score._target_","method.cls.task_update_num","method.cls.type","method.eval_type","method.fast_weight","method.maml_inner_lr","method.n_task","method.name","method.start_epoch","method.stop_epoch","method.task_update_num","method.train_batch","method.type","mode","model","model_details.FCE.lstmcell","model_details.FCE.softmax","model_details.G_encoder","model_details.classifier","model_details.classifier.L","model_details.feature.encoder.0.0","model_details.feature.encoder.0.1","model_details.feature.encoder.0.2","model_details.feature.encoder.0.3","model_details.feature.encoder.1.0","model_details.feature.encoder.1.1","model_details.feature.encoder.1.2","model_details.feature.encoder.1.3","model_details.loss_fn","model_details.relu","model_details.score","model_details.softmax","model_details.transform.dropout","model_details.transform.dropout1","model_details.transform.dropout2","model_details.transform.gen1","model_details.transform.gen2","model_details.transform.gen3","model_details.transform.gen4","model_details.transform.linear1","model_details.transform.linear2","model_details.transform.lstm","model_details.transform.norm1","model_details.transform.norm2","model_details.transform.self_attn.out_proj","n_query","n_shot","n_way","optimizer","optimizer_cls._target_","optimizer_cls.lr","optimizer_details.amsgrad","optimizer_details.betas","optimizer_details.capturable","optimizer_details.differentiable","optimizer_details.eps","optimizer_details.lr","optimizer_details.maximize","optimizer_details.weight_decay","train_classes","wandb.entity","wandb.mode","wandb.project","acc/val","epoch","loss","loss/train"
"amber-forest-811","finished","-","marta-knezevic","","2023-12-03T06:23:44.000Z","283","","backbones.fcnet.FCNet","[512,512]","checkpoints/swissprot_feat_star/swissprot/feat_FCNet","best_model","20231203_062343","swissprot","datasets.prot.swissprot.SPSetDataset","15","5","5","datasets.prot.swissprot.SPSimpleDataset","classification","[""train"",""val"",""test""]","swissprot_feat_star","false","10","42","1","600","0.001","methods.settoset.feat.FEAT","256","0.1","","","","4","5","","5","","","methods.settoset.settoset.EuclideanDistanceScore","","","set","false","","","feat","0","40","","","meta","train","FCNet","","","","","","Linear(in_features=1280, out_features=512, bias=True)","BatchNorm1d(512, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)","ReLU()","Dropout(p=0.2, inplace=False)","Linear(in_features=512, out_features=512, bias=True)","BatchNorm1d(512, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)","ReLU()","Dropout(p=0.2, inplace=False)","CrossEntropyLoss()","","EuclideanDistanceScore()","","Dropout(p=0.1, inplace=False)","Dropout(p=0.1, inplace=False)","Dropout(p=0.1, inplace=False)","","","","","Linear(in_features=512, out_features=256, bias=True)","Linear(in_features=256, out_features=512, bias=True)","","LayerNorm((512,), eps=1e-05, elementwise_affine=True)","LayerNorm((512,), eps=1e-05, elementwise_affine=True)","NonDynamicallyQuantizableLinear(in_features=512, out_features=512, bias=True)","15","5","5","Adam","torch.optim.Adam","0.001","false","[0.9,0.999]","false","false","1e-8","0.001","false","0","59","dlbio-feat","online","few-shot-learning","67.17333333333335","39","0.22094897202975347",""
"amber-leaf-783","finished","-","marta-knezevic","","2023-12-03T03:04:18.000Z","285","","backbones.fcnet.FCNet","[512,512]","checkpoints/swissprot_feat_star/swissprot/feat_FCNet","best_model","20231203_030417","swissprot","datasets.prot.swissprot.SPSetDataset","15","5","5","datasets.prot.swissprot.SPSimpleDataset","classification","[""train"",""val"",""test""]","swissprot_feat_star","false","10","42","1","600","0.001","methods.settoset.feat.FEAT","256","0.2","","","","2","5","","5","","","methods.settoset.settoset.EuclideanDistanceScore","","","set","false","","","feat","0","40","","","meta","train","FCNet","","","","","","Linear(in_features=1280, out_features=512, bias=True)","BatchNorm1d(512, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)","ReLU()","Dropout(p=0.2, inplace=False)","Linear(in_features=512, out_features=512, bias=True)","BatchNorm1d(512, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)","ReLU()","Dropout(p=0.2, inplace=False)","CrossEntropyLoss()","","EuclideanDistanceScore()","","Dropout(p=0.2, inplace=False)","Dropout(p=0.2, inplace=False)","Dropout(p=0.2, inplace=False)","","","","","Linear(in_features=512, out_features=256, bias=True)","Linear(in_features=256, out_features=512, bias=True)","","LayerNorm((512,), eps=1e-05, elementwise_affine=True)","LayerNorm((512,), eps=1e-05, elementwise_affine=True)","NonDynamicallyQuantizableLinear(in_features=512, out_features=512, bias=True)","15","5","5","Adam","torch.optim.Adam","0.001","false","[0.9,0.999]","false","false","1e-8","0.001","false","0","59","dlbio-feat","online","few-shot-learning","66.46666666666665","39","0.3225995849787288",""
"ancient-sun-713","finished","-","marta-knezevic","","2023-12-02T18:01:04.000Z","309","","backbones.fcnet.FCNet","[512,512]","checkpoints/swissprot_feat_star/swissprot/feat_FCNet","best_model","20231202_180102","swissprot","datasets.prot.swissprot.SPSetDataset","15","1","5","datasets.prot.swissprot.SPSimpleDataset","classification","[""train"",""val"",""test""]","swissprot_feat_star","false","10","42","1","600","0.001","methods.settoset.feat.FEAT","256","0.2","","","","2","1","","5","","","methods.settoset.settoset.CosineSimilarityScore","","","set","false","","","feat","0","40","","","meta","train","FCNet","","","","","","Linear(in_features=1280, out_features=512, bias=True)","BatchNorm1d(512, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)","ReLU()","Dropout(p=0.2, inplace=False)","Linear(in_features=512, out_features=512, bias=True)","BatchNorm1d(512, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)","ReLU()","Dropout(p=0.2, inplace=False)","CrossEntropyLoss()","","CosineSimilarityScore()","","Dropout(p=0.2, inplace=False)","Dropout(p=0.2, inplace=False)","Dropout(p=0.2, inplace=False)","","","","","Linear(in_features=512, out_features=256, bias=True)","Linear(in_features=256, out_features=512, bias=True)","","LayerNorm((512,), eps=1e-05, elementwise_affine=True)","LayerNorm((512,), eps=1e-05, elementwise_affine=True)","NonDynamicallyQuantizableLinear(in_features=512, out_features=512, bias=True)","15","1","5","Adam","torch.optim.Adam","0.001","false","[0.9,0.999]","false","false","1e-8","0.001","false","0","59","dlbio-feat","online","few-shot-learning","52.65333333333333","39","2.202937424837888",""
"astral-pyramid-705","finished","-","marta-knezevic","","2023-12-02T17:29:11.000Z","311","","backbones.fcnet.FCNet","[512,512]","checkpoints/swissprot_feat_star/swissprot/feat_FCNet","best_model","20231202_172909","swissprot","datasets.prot.swissprot.SPSetDataset","15","1","5","datasets.prot.swissprot.SPSimpleDataset","classification","[""train"",""val"",""test""]","swissprot_feat_star","false","10","42","1","600","0.001","methods.settoset.feat.FEAT","1024","0.1","","","","1","1","","5","","","methods.settoset.settoset.CosineSimilarityScore","","","set","false","","","feat","0","40","","","meta","train","FCNet","","","","","","Linear(in_features=1280, out_features=512, bias=True)","BatchNorm1d(512, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)","ReLU()","Dropout(p=0.2, inplace=False)","Linear(in_features=512, out_features=512, bias=True)","BatchNorm1d(512, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)","ReLU()","Dropout(p=0.2, inplace=False)","CrossEntropyLoss()","","CosineSimilarityScore()","","Dropout(p=0.1, inplace=False)","Dropout(p=0.1, inplace=False)","Dropout(p=0.1, inplace=False)","","","","","Linear(in_features=512, out_features=1024, bias=True)","Linear(in_features=1024, out_features=512, bias=True)","","LayerNorm((512,), eps=1e-05, elementwise_affine=True)","LayerNorm((512,), eps=1e-05, elementwise_affine=True)","NonDynamicallyQuantizableLinear(in_features=512, out_features=512, bias=True)","15","1","5","Adam","torch.optim.Adam","0.001","false","[0.9,0.999]","false","false","1e-8","0.001","false","0","59","dlbio-feat","online","few-shot-learning","42.96","39","2.262555331974239",""
"astral-wind-744","finished","-","marta-knezevic","","2023-12-02T22:07:29.000Z","309","","backbones.fcnet.FCNet","[512,512]","checkpoints/swissprot_feat_star/swissprot/feat_FCNet","best_model","20231202_220728","swissprot","datasets.prot.swissprot.SPSetDataset","15","1","5","datasets.prot.swissprot.SPSimpleDataset","classification","[""train"",""val"",""test""]","swissprot_feat_star","false","10","42","1","600","0.0001","methods.settoset.feat.FEAT","512","0.2","","","","4","1","","5","","","methods.settoset.settoset.EuclideanDistanceScore","","","set","false","","","feat","0","40","","","meta","train","FCNet","","","","","","Linear(in_features=1280, out_features=512, bias=True)","BatchNorm1d(512, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)","ReLU()","Dropout(p=0.2, inplace=False)","Linear(in_features=512, out_features=512, bias=True)","BatchNorm1d(512, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)","ReLU()","Dropout(p=0.2, inplace=False)","CrossEntropyLoss()","","EuclideanDistanceScore()","","Dropout(p=0.2, inplace=False)","Dropout(p=0.2, inplace=False)","Dropout(p=0.2, inplace=False)","","","","","Linear(in_features=512, out_features=512, bias=True)","Linear(in_features=512, out_features=512, bias=True)","","LayerNorm((512,), eps=1e-05, elementwise_affine=True)","LayerNorm((512,), eps=1e-05, elementwise_affine=True)","NonDynamicallyQuantizableLinear(in_features=512, out_features=512, bias=True)","15","1","5","Adam","torch.optim.Adam","0.0001","false","[0.9,0.999]","false","false","1e-8","0.0001","false","0","59","dlbio-feat","online","few-shot-learning","52.13333333333333","39","1.7614757939502173",""
"atomic-plasma-824","finished","-","marta-knezevic","","2023-12-03T07:56:06.000Z","289","","backbones.fcnet.FCNet","[512,512]","checkpoints/swissprot_feat_star/swissprot/feat_FCNet","best_model","20231203_075605","swissprot","datasets.prot.swissprot.SPSetDataset","15","5","5","datasets.prot.swissprot.SPSimpleDataset","classification","[""train"",""val"",""test""]","swissprot_feat_star","false","10","42","1","600","0.0001","methods.settoset.feat.FEAT","1024","0.2","","","","4","5","","5","","","methods.settoset.settoset.EuclideanDistanceScore","","","set","false","","","feat","0","40","","","meta","train","FCNet","","","","","","Linear(in_features=1280, out_features=512, bias=True)","BatchNorm1d(512, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)","ReLU()","Dropout(p=0.2, inplace=False)","Linear(in_features=512, out_features=512, bias=True)","BatchNorm1d(512, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)","ReLU()","Dropout(p=0.2, inplace=False)","CrossEntropyLoss()","","EuclideanDistanceScore()","","Dropout(p=0.2, inplace=False)","Dropout(p=0.2, inplace=False)","Dropout(p=0.2, inplace=False)","","","","","Linear(in_features=512, out_features=1024, bias=True)","Linear(in_features=1024, out_features=512, bias=True)","","LayerNorm((512,), eps=1e-05, elementwise_affine=True)","LayerNorm((512,), eps=1e-05, elementwise_affine=True)","NonDynamicallyQuantizableLinear(in_features=512, out_features=512, bias=True)","15","5","5","Adam","torch.optim.Adam","0.0001","false","[0.9,0.999]","false","false","1e-8","0.0001","false","0","59","dlbio-feat","online","few-shot-learning","69.8","39","0.47266578111830415",""
"autumn-smoke-751","finished","-","marta-knezevic","","2023-12-02T23:03:11.000Z","312","","backbones.fcnet.FCNet","[512,512]","checkpoints/swissprot_feat_star/swissprot/feat_FCNet","best_model","20231202_230309","swissprot","datasets.prot.swissprot.SPSetDataset","15","1","5","datasets.prot.swissprot.SPSimpleDataset","classification","[""train"",""val"",""test""]","swissprot_feat_star","false","10","42","1","600","0.001","methods.settoset.feat.FEAT","1024","0.2","","","","4","1","","5","","","methods.settoset.settoset.EuclideanDistanceScore","","","set","false","","","feat","0","40","","","meta","train","FCNet","","","","","","Linear(in_features=1280, out_features=512, bias=True)","BatchNorm1d(512, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)","ReLU()","Dropout(p=0.2, inplace=False)","Linear(in_features=512, out_features=512, bias=True)","BatchNorm1d(512, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)","ReLU()","Dropout(p=0.2, inplace=False)","CrossEntropyLoss()","","EuclideanDistanceScore()","","Dropout(p=0.2, inplace=False)","Dropout(p=0.2, inplace=False)","Dropout(p=0.2, inplace=False)","","","","","Linear(in_features=512, out_features=1024, bias=True)","Linear(in_features=1024, out_features=512, bias=True)","","LayerNorm((512,), eps=1e-05, elementwise_affine=True)","LayerNorm((512,), eps=1e-05, elementwise_affine=True)","NonDynamicallyQuantizableLinear(in_features=512, out_features=512, bias=True)","15","1","5","Adam","torch.optim.Adam","0.001","false","[0.9,0.999]","false","false","1e-8","0.001","false","0","59","dlbio-feat","online","few-shot-learning","53.86666666666666","39","0.7074618495918892",""
"autumn-violet-683","finished","-","marta-knezevic","","2023-12-02T15:23:10.000Z","311","","backbones.fcnet.FCNet","[512,512]","checkpoints/swissprot_feat_star/swissprot/feat_FCNet","best_model","20231202_152308","swissprot","datasets.prot.swissprot.SPSetDataset","15","1","5","datasets.prot.swissprot.SPSimpleDataset","classification","[""train"",""val"",""test""]","swissprot_feat_star","false","10","42","1","600","0.001","methods.settoset.feat.FEAT","256","0.1","","","","1","1","","5","","","methods.settoset.settoset.CosineSimilarityScore","","","set","false","","","feat","0","40","","","meta","train","FCNet","","","","","","Linear(in_features=1280, out_features=512, bias=True)","BatchNorm1d(512, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)","ReLU()","Dropout(p=0.2, inplace=False)","Linear(in_features=512, out_features=512, bias=True)","BatchNorm1d(512, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)","ReLU()","Dropout(p=0.2, inplace=False)","CrossEntropyLoss()","","CosineSimilarityScore()","","Dropout(p=0.1, inplace=False)","Dropout(p=0.1, inplace=False)","Dropout(p=0.1, inplace=False)","","","","","Linear(in_features=512, out_features=256, bias=True)","Linear(in_features=256, out_features=512, bias=True)","","LayerNorm((512,), eps=1e-05, elementwise_affine=True)","LayerNorm((512,), eps=1e-05, elementwise_affine=True)","NonDynamicallyQuantizableLinear(in_features=512, out_features=512, bias=True)","15","1","5","Adam","torch.optim.Adam","0.001","false","[0.9,0.999]","false","false","1e-8","0.001","false","0","59","dlbio-feat","online","few-shot-learning","47.93333333333333","39","2.2060295094500533",""
"avid-pyramid-761","finished","-","marta-knezevic","","2023-12-03T00:20:40.000Z","284","","backbones.fcnet.FCNet","[512,512]","checkpoints/swissprot_feat_star/swissprot/feat_FCNet","best_model","20231203_002038","swissprot","datasets.prot.swissprot.SPSetDataset","15","5","5","datasets.prot.swissprot.SPSimpleDataset","classification","[""train"",""val"",""test""]","swissprot_feat_star","false","10","42","1","600","0.001","methods.settoset.feat.FEAT","256","0.2","","","","1","5","","5","","","methods.settoset.settoset.CosineSimilarityScore","","","set","false","","","feat","0","40","","","meta","train","FCNet","","","","","","Linear(in_features=1280, out_features=512, bias=True)","BatchNorm1d(512, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)","ReLU()","Dropout(p=0.2, inplace=False)","Linear(in_features=512, out_features=512, bias=True)","BatchNorm1d(512, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)","ReLU()","Dropout(p=0.2, inplace=False)","CrossEntropyLoss()","","CosineSimilarityScore()","","Dropout(p=0.2, inplace=False)","Dropout(p=0.2, inplace=False)","Dropout(p=0.2, inplace=False)","","","","","Linear(in_features=512, out_features=256, bias=True)","Linear(in_features=256, out_features=512, bias=True)","","LayerNorm((512,), eps=1e-05, elementwise_affine=True)","LayerNorm((512,), eps=1e-05, elementwise_affine=True)","NonDynamicallyQuantizableLinear(in_features=512, out_features=512, bias=True)","15","5","5","Adam","torch.optim.Adam","0.001","false","[0.9,0.999]","false","false","1e-8","0.001","false","0","59","dlbio-feat","online","few-shot-learning","50.25333333333333","39","2.039959471304338",""
"balmy-gorge-707","finished","-","marta-knezevic","","2023-12-02T17:37:08.000Z","313","","backbones.fcnet.FCNet","[512,512]","checkpoints/swissprot_feat_star/swissprot/feat_FCNet","best_model","20231202_173706","swissprot","datasets.prot.swissprot.SPSetDataset","15","1","5","datasets.prot.swissprot.SPSimpleDataset","classification","[""train"",""val"",""test""]","swissprot_feat_star","false","10","42","1","600","0.0001","methods.settoset.feat.FEAT","1024","0.1","","","","1","1","","5","","","methods.settoset.settoset.CosineSimilarityScore","","","set","false","","","feat","0","40","","","meta","train","FCNet","","","","","","Linear(in_features=1280, out_features=512, bias=True)","BatchNorm1d(512, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)","ReLU()","Dropout(p=0.2, inplace=False)","Linear(in_features=512, out_features=512, bias=True)","BatchNorm1d(512, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)","ReLU()","Dropout(p=0.2, inplace=False)","CrossEntropyLoss()","","CosineSimilarityScore()","","Dropout(p=0.1, inplace=False)","Dropout(p=0.1, inplace=False)","Dropout(p=0.1, inplace=False)","","","","","Linear(in_features=512, out_features=1024, bias=True)","Linear(in_features=1024, out_features=512, bias=True)","","LayerNorm((512,), eps=1e-05, elementwise_affine=True)","LayerNorm((512,), eps=1e-05, elementwise_affine=True)","NonDynamicallyQuantizableLinear(in_features=512, out_features=512, bias=True)","15","1","5","Adam","torch.optim.Adam","0.0001","false","[0.9,0.999]","false","false","1e-8","0.0001","false","0","59","dlbio-feat","online","few-shot-learning","49.08","39","2.1557564473414157",""
