"Name","State","Notes","User","Tags","Created","Runtime","Sweep","backbone._target_","backbone.layer_dim","checkpoint.dir","checkpoint.test_iter","checkpoint.time","dataset.name","dataset.set_cls._target_","dataset.set_cls.n_query","dataset.set_cls.n_support","dataset.set_cls.n_way","dataset.simple_cls._target_","dataset.type","eval_split","exp.name","exp.resume","exp.save_freq","exp.seed","exp.val_freq","iter_num","lr","method.cls._target_","method.cls.dim_feedforward","method.cls.dropout","method.cls.inner_lr","method.cls.loss","method.cls.n_classes","method.cls.n_head","method.cls.n_support","method.cls.n_task","method.cls.n_way","method.cls.num_layers","method.cls.score","method.cls.score._target_","method.cls.task_update_num","method.cls.type","method.eval_type","method.fast_weight","method.maml_inner_lr","method.n_task","method.name","method.start_epoch","method.stop_epoch","method.task_update_num","method.train_batch","method.type","mode","model","model_details.FCE.lstmcell","model_details.FCE.softmax","model_details.G_encoder","model_details.classifier","model_details.classifier.L","model_details.feature.encoder.0.0","model_details.feature.encoder.0.1","model_details.feature.encoder.0.2","model_details.feature.encoder.0.3","model_details.feature.encoder.1.0","model_details.feature.encoder.1.1","model_details.feature.encoder.1.2","model_details.feature.encoder.1.3","model_details.loss_fn","model_details.relu","model_details.score","model_details.softmax","model_details.transform.dropout","model_details.transform.dropout1","model_details.transform.dropout2","model_details.transform.gen1","model_details.transform.gen2","model_details.transform.gen3","model_details.transform.gen4","model_details.transform.linear1","model_details.transform.linear2","model_details.transform.lstm","model_details.transform.norm1","model_details.transform.norm2","model_details.transform.self_attn.out_proj","n_query","n_shot","n_way","optimizer","optimizer_cls._target_","optimizer_cls.lr","optimizer_details.amsgrad","optimizer_details.betas","optimizer_details.capturable","optimizer_details.differentiable","optimizer_details.eps","optimizer_details.lr","optimizer_details.maximize","optimizer_details.weight_decay","train_classes","wandb.entity","wandb.mode","wandb.project","acc/val","epoch","loss","loss/train"
"breezy-moon-642","finished","-","vsa","","2023-11-25T19:43:39.000Z","170","","backbones.fcnet.FCNet","[64,64]","checkpoints/tabula_muris_fealstm/tabula_muris/fealstm_FCNet","best_model","20231125_194337","tabula_muris","datasets.cell.tabula_muris.TMSetDataset","15","5","5","datasets.cell.tabula_muris.TMSimpleDataset","classification","[""train"",""val"",""test""]","tabula_muris_fealstm","false","10","42","1","600","0.0001","methods.settoset.fealstm.FEALSTM","","","","","","","5","","5","2","","methods.settoset.settoset.CosineSimilarityScore","","","set","false","","","fealstm","0","40","","","meta","train","FCNet","","","","","","Linear(in_features=2866, out_features=64, bias=True)","BatchNorm1d(64, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)","ReLU()","Dropout(p=0.2, inplace=False)","Linear(in_features=64, out_features=64, bias=True)","BatchNorm1d(64, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)","ReLU()","Dropout(p=0.2, inplace=False)","CrossEntropyLoss()","","CosineSimilarityScore()","","","","","","","","","","","LSTM(64, 32, num_layers=2, batch_first=True, bidirectional=True)","","","","15","5","5","Adam","torch.optim.Adam","0.0001","false","[0.9,0.999]","false","false","1e-8","0.0001","false","0","59","dlbio-feat","online","few-shot-learning","72.34666666666666","39","2.07044432582436",""
"cerulean-dew-636","finished","-","vsa","","2023-11-25T19:19:20.000Z","170","","backbones.fcnet.FCNet","[64,64]","checkpoints/tabula_muris_fealstm/tabula_muris/fealstm_FCNet","best_model","20231125_191918","tabula_muris","datasets.cell.tabula_muris.TMSetDataset","15","5","5","datasets.cell.tabula_muris.TMSimpleDataset","classification","[""train"",""val"",""test""]","tabula_muris_fealstm","false","10","42","1","600","0.0001","methods.settoset.fealstm.FEALSTM","","","","","","","5","","5","1","","methods.settoset.settoset.EuclideanDistanceScore","","","set","false","","","fealstm","0","40","","","meta","train","FCNet","","","","","","Linear(in_features=2866, out_features=64, bias=True)","BatchNorm1d(64, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)","ReLU()","Dropout(p=0.2, inplace=False)","Linear(in_features=64, out_features=64, bias=True)","BatchNorm1d(64, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)","ReLU()","Dropout(p=0.2, inplace=False)","CrossEntropyLoss()","","EuclideanDistanceScore()","","","","","","","","","","","LSTM(64, 32, batch_first=True, bidirectional=True)","","","","15","5","5","Adam","torch.optim.Adam","0.0001","false","[0.9,0.999]","false","false","1e-8","0.0001","false","0","59","dlbio-feat","online","few-shot-learning","87.58666666666667","39","0.2730252464726608",""
"crimson-planet-623","finished","-","vsa","","2023-11-25T18:26:09.000Z","170","","backbones.fcnet.FCNet","[64,64]","checkpoints/tabula_muris_fealstm/tabula_muris/fealstm_FCNet","best_model","20231125_182608","tabula_muris","datasets.cell.tabula_muris.TMSetDataset","15","1","5","datasets.cell.tabula_muris.TMSimpleDataset","classification","[""train"",""val"",""test""]","tabula_muris_fealstm","false","10","42","1","600","0.001","methods.settoset.fealstm.FEALSTM","","","","","","","1","","5","2","","methods.settoset.settoset.EuclideanDistanceScore","","","set","false","","","fealstm","0","40","","","meta","train","FCNet","","","","","","Linear(in_features=2866, out_features=64, bias=True)","BatchNorm1d(64, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)","ReLU()","Dropout(p=0.2, inplace=False)","Linear(in_features=64, out_features=64, bias=True)","BatchNorm1d(64, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)","ReLU()","Dropout(p=0.2, inplace=False)","CrossEntropyLoss()","","EuclideanDistanceScore()","","","","","","","","","","","LSTM(64, 32, num_layers=2, batch_first=True, bidirectional=True)","","","","15","1","5","Adam","torch.optim.Adam","0.001","false","[0.9,0.999]","false","false","1e-8","0.001","false","0","59","dlbio-feat","online","few-shot-learning","76.73333333333333","39","0.43255222918322456",""
"dazzling-snowball-630","finished","-","vsa","","2023-11-25T18:54:54.000Z","173","","backbones.fcnet.FCNet","[64,64]","checkpoints/tabula_muris_fealstm/tabula_muris/fealstm_FCNet","best_model","20231125_185452","tabula_muris","datasets.cell.tabula_muris.TMSetDataset","15","1","5","datasets.cell.tabula_muris.TMSimpleDataset","classification","[""train"",""val"",""test""]","tabula_muris_fealstm","false","10","42","1","600","0.0001","methods.settoset.fealstm.FEALSTM","","","","","","","1","","5","3","","methods.settoset.settoset.CosineSimilarityScore","","","set","false","","","fealstm","0","40","","","meta","train","FCNet","","","","","","Linear(in_features=2866, out_features=64, bias=True)","BatchNorm1d(64, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)","ReLU()","Dropout(p=0.2, inplace=False)","Linear(in_features=64, out_features=64, bias=True)","BatchNorm1d(64, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)","ReLU()","Dropout(p=0.2, inplace=False)","CrossEntropyLoss()","","CosineSimilarityScore()","","","","","","","","","","","LSTM(64, 32, num_layers=3, batch_first=True, bidirectional=True)","","","","15","1","5","Adam","torch.optim.Adam","0.0001","false","[0.9,0.999]","false","false","1e-8","0.0001","false","0","59","dlbio-feat","online","few-shot-learning","69.48","39","2.1693946018323795",""
"different-bird-637","finished","-","vsa","","2023-11-25T19:23:22.000Z","170","","backbones.fcnet.FCNet","[64,64]","checkpoints/tabula_muris_fealstm/tabula_muris/fealstm_FCNet","best_model","20231125_192320","tabula_muris","datasets.cell.tabula_muris.TMSetDataset","15","5","5","datasets.cell.tabula_muris.TMSimpleDataset","classification","[""train"",""val"",""test""]","tabula_muris_fealstm","false","10","42","1","600","0.001","methods.settoset.fealstm.FEALSTM","","","","","","","5","","5","1","","methods.settoset.settoset.CosineSimilarityScore","","","set","false","","","fealstm","0","40","","","meta","train","FCNet","","","","","","Linear(in_features=2866, out_features=64, bias=True)","BatchNorm1d(64, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)","ReLU()","Dropout(p=0.2, inplace=False)","Linear(in_features=64, out_features=64, bias=True)","BatchNorm1d(64, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)","ReLU()","Dropout(p=0.2, inplace=False)","CrossEntropyLoss()","","CosineSimilarityScore()","","","","","","","","","","","LSTM(64, 32, batch_first=True, bidirectional=True)","","","","15","5","5","Adam","torch.optim.Adam","0.001","false","[0.9,0.999]","false","false","1e-8","0.001","false","0","59","dlbio-feat","online","few-shot-learning","72.50666666666667","39","2.017381931399251",""
"drawn-breeze-633","finished","-","vsa","","2023-11-25T19:07:03.000Z","175","","backbones.fcnet.FCNet","[64,64]","checkpoints/tabula_muris_fealstm/tabula_muris/fealstm_FCNet","best_model","20231125_190701","tabula_muris","datasets.cell.tabula_muris.TMSetDataset","15","1","5","datasets.cell.tabula_muris.TMSimpleDataset","classification","[""train"",""val"",""test""]","tabula_muris_fealstm","false","10","42","1","600","0.001","methods.settoset.fealstm.FEALSTM","","","","","","","1","","5","4","","methods.settoset.settoset.CosineSimilarityScore","","","set","false","","","fealstm","0","40","","","meta","train","FCNet","","","","","","Linear(in_features=2866, out_features=64, bias=True)","BatchNorm1d(64, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)","ReLU()","Dropout(p=0.2, inplace=False)","Linear(in_features=64, out_features=64, bias=True)","BatchNorm1d(64, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)","ReLU()","Dropout(p=0.2, inplace=False)","CrossEntropyLoss()","","CosineSimilarityScore()","","","","","","","","","","","LSTM(64, 32, num_layers=4, batch_first=True, bidirectional=True)","","","","15","1","5","Adam","torch.optim.Adam","0.001","false","[0.9,0.999]","false","false","1e-8","0.001","false","0","59","dlbio-feat","online","few-shot-learning","66.01333333333334","39","2.087107934794583",""
"effortless-flower-641","finished","-","vsa","","2023-11-25T19:39:34.000Z","173","","backbones.fcnet.FCNet","[64,64]","checkpoints/tabula_muris_fealstm/tabula_muris/fealstm_FCNet","best_model","20231125_193932","tabula_muris","datasets.cell.tabula_muris.TMSetDataset","15","5","5","datasets.cell.tabula_muris.TMSimpleDataset","classification","[""train"",""val"",""test""]","tabula_muris_fealstm","false","10","42","1","600","0.001","methods.settoset.fealstm.FEALSTM","","","","","","","5","","5","2","","methods.settoset.settoset.CosineSimilarityScore","","","set","false","","","fealstm","0","40","","","meta","train","FCNet","","","","","","Linear(in_features=2866, out_features=64, bias=True)","BatchNorm1d(64, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)","ReLU()","Dropout(p=0.2, inplace=False)","Linear(in_features=64, out_features=64, bias=True)","BatchNorm1d(64, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)","ReLU()","Dropout(p=0.2, inplace=False)","CrossEntropyLoss()","","CosineSimilarityScore()","","","","","","","","","","","LSTM(64, 32, num_layers=2, batch_first=True, bidirectional=True)","","","","15","5","5","Adam","torch.optim.Adam","0.001","false","[0.9,0.999]","false","false","1e-8","0.001","false","0","59","dlbio-feat","online","few-shot-learning","75.41333333333333","39","2.0277714952007755",""
"elated-bee-645","finished","-","vsa","","2023-11-25T19:56:15.000Z","175","","backbones.fcnet.FCNet","[64,64]","checkpoints/tabula_muris_fealstm/tabula_muris/fealstm_FCNet","best_model","20231125_195613","tabula_muris","datasets.cell.tabula_muris.TMSetDataset","15","5","5","datasets.cell.tabula_muris.TMSimpleDataset","classification","[""train"",""val"",""test""]","tabula_muris_fealstm","false","10","42","1","600","0.001","methods.settoset.fealstm.FEALSTM","","","","","","","5","","5","3","","methods.settoset.settoset.CosineSimilarityScore","","","set","false","","","fealstm","0","40","","","meta","train","FCNet","","","","","","Linear(in_features=2866, out_features=64, bias=True)","BatchNorm1d(64, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)","ReLU()","Dropout(p=0.2, inplace=False)","Linear(in_features=64, out_features=64, bias=True)","BatchNorm1d(64, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)","ReLU()","Dropout(p=0.2, inplace=False)","CrossEntropyLoss()","","CosineSimilarityScore()","","","","","","","","","","","LSTM(64, 32, num_layers=3, batch_first=True, bidirectional=True)","","","","15","5","5","Adam","torch.optim.Adam","0.001","false","[0.9,0.999]","false","false","1e-8","0.001","false","0","59","dlbio-feat","online","few-shot-learning","76.29333333333334","39","2.028464289811941",""
"electric-monkey-625","finished","-","vsa","","2023-11-25T18:34:14.000Z","171","","backbones.fcnet.FCNet","[64,64]","checkpoints/tabula_muris_fealstm/tabula_muris/fealstm_FCNet","best_model","20231125_183412","tabula_muris","datasets.cell.tabula_muris.TMSetDataset","15","1","5","datasets.cell.tabula_muris.TMSimpleDataset","classification","[""train"",""val"",""test""]","tabula_muris_fealstm","false","10","42","1","600","0.001","methods.settoset.fealstm.FEALSTM","","","","","","","1","","5","2","","methods.settoset.settoset.CosineSimilarityScore","","","set","false","","","fealstm","0","40","","","meta","train","FCNet","","","","","","Linear(in_features=2866, out_features=64, bias=True)","BatchNorm1d(64, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)","ReLU()","Dropout(p=0.2, inplace=False)","Linear(in_features=64, out_features=64, bias=True)","BatchNorm1d(64, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)","ReLU()","Dropout(p=0.2, inplace=False)","CrossEntropyLoss()","","CosineSimilarityScore()","","","","","","","","","","","LSTM(64, 32, num_layers=2, batch_first=True, bidirectional=True)","","","","15","1","5","Adam","torch.optim.Adam","0.001","false","[0.9,0.999]","false","false","1e-8","0.001","false","0","59","dlbio-feat","online","few-shot-learning","60.54666666666666","39","2.101771598333841",""
"fearless-flower-624","finished","-","vsa","","2023-11-25T18:30:11.000Z","171","","backbones.fcnet.FCNet","[64,64]","checkpoints/tabula_muris_fealstm/tabula_muris/fealstm_FCNet","best_model","20231125_183010","tabula_muris","datasets.cell.tabula_muris.TMSetDataset","15","1","5","datasets.cell.tabula_muris.TMSimpleDataset","classification","[""train"",""val"",""test""]","tabula_muris_fealstm","false","10","42","1","600","0.0001","methods.settoset.fealstm.FEALSTM","","","","","","","1","","5","2","","methods.settoset.settoset.EuclideanDistanceScore","","","set","false","","","fealstm","0","40","","","meta","train","FCNet","","","","","","Linear(in_features=2866, out_features=64, bias=True)","BatchNorm1d(64, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)","ReLU()","Dropout(p=0.2, inplace=False)","Linear(in_features=64, out_features=64, bias=True)","BatchNorm1d(64, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)","ReLU()","Dropout(p=0.2, inplace=False)","CrossEntropyLoss()","","EuclideanDistanceScore()","","","","","","","","","","","LSTM(64, 32, num_layers=2, batch_first=True, bidirectional=True)","","","","15","1","5","Adam","torch.optim.Adam","0.0001","false","[0.9,0.999]","false","false","1e-8","0.0001","false","0","59","dlbio-feat","online","few-shot-learning","74.46666666666665","39","1.3076403923844406",""
